features,label
"[-509.74169921875, 72.91060638427734, -22.406801223754883, 16.511823654174805, -1.6671428680419922, -5.257656574249268, -17.93905258178711, -10.610269546508789, -27.63128662109375, -11.000836372375488, -1.3600846529006958, -11.68867015838623, -4.2864089012146, -10.292201042175293, -5.093676567077637, 3.574054002761841, -17.220413208007812, -8.726819038391113, -4.770182132720947, -7.414271831512451, -11.361105918884277, -3.027019739151001, -10.547101020812988, -11.184131622314453, -2.710601806640625, -8.45399284362793, -8.9367094039917, -2.4404356479644775, -9.507305145263672, -5.095779895782471, -8.949183464050293, -8.493447303771973, -4.245661735534668, -4.367722511291504, -1.3414883613586426, 2.6782987117767334, 6.533543109893799, 6.5826263427734375, 11.240585327148438, 17.224931716918945]",neutral
"[-460.96160888671875, 44.663211822509766, -45.32203674316406, 8.058073997497559, -23.725061416625977, -16.375181198120117, -4.586304664611816, -25.49657440185547, -12.607405662536621, -3.5319690704345703, -7.68804931640625, -8.470968246459961, -14.824442863464355, 8.14515209197998, -18.331363677978516, -5.575952529907227, -0.6862366199493408, 9.107648849487305, 16.34369468688965, 27.17544174194336, 16.924253463745117, 10.320209503173828, 2.7134792804718018, -5.9288177490234375, -3.586621046066284, 0.38264065980911255, -2.5678114891052246, -2.721712589263916, -5.52692985534668, -7.526207447052002, -5.991313457489014, 0.9070132970809937, -2.9380686283111572, -5.0799689292907715, -4.2960333824157715, 2.1834115982055664, -0.9189710021018982, 0.23574590682983398, 1.758834719657898, 10.41273307800293]",neutral
"[-424.5537109375, 71.41537475585938, -30.631855010986328, 18.893360137939453, -11.941089630126953, -15.091376304626465, -27.125635147094727, -20.280370712280273, -15.662574768066406, -18.700904846191406, 0.04800017550587654, -12.740782737731934, -11.793767929077148, -1.8947511911392212, -15.43524169921875, -0.6794713139533997, -10.422721862792969, -5.615814685821533, -3.391465902328491, -9.802769660949707, -11.60338020324707, -5.8281426429748535, -8.014490127563477, -5.511216640472412, -5.805777549743652, -4.529552459716797, -4.635676860809326, -4.095143795013428, -4.8626532554626465, -7.231616973876953, -4.5487589836120605, -3.9357547760009766, -6.613157749176025, -1.0754636526107788, 0.6109846830368042, 3.2646126747131348, 4.588600158691406, 7.424260139465332, 12.160574913024902, 18.983640670776367]",neutral
"[-498.18377685546875, 38.7775993347168, -32.49264907836914, 4.905792236328125, -20.368412017822266, -22.16016387939453, -10.255292892456055, -32.533348083496094, -9.559535026550293, -4.893112659454346, -14.492218971252441, -13.329752922058105, -16.01700782775879, -0.053418733179569244, -23.660648345947266, -3.936908483505249, -5.336940288543701, 7.536881923675537, 20.29338264465332, 28.144527435302734, 20.44158363342285, 18.495424270629883, 0.23285064101219177, -2.510221004486084, -8.917803764343262, -1.7516871690750122, -3.27834153175354, -1.6428642272949219, -8.696711540222168, -9.733176231384277, -4.039311408996582, 2.6875, -2.942018985748291, -6.763950347900391, -5.820838451385498, 1.0409696102142334, 2.518768787384033, 1.5186231136322021, 1.9735548496246338, 9.855743408203125]",neutral
"[-525.2702026367188, 94.37052154541016, -17.84688949584961, 28.070714950561523, -1.6154764890670776, -25.582162857055664, -9.229422569274902, -6.258957862854004, -19.600482940673828, 0.058997754007577896, -2.293555736541748, -8.563579559326172, -4.208381175994873, -3.301503896713257, -8.724212646484375, 4.39599084854126, -13.719930648803711, -0.45103514194488525, -3.4416005611419678, -8.759905815124512, -4.261264324188232, -3.9262101650238037, -10.10404109954834, -2.647486686706543, -3.6265156269073486, -1.9709826707839966, -5.437671661376953, 0.4798862040042877, -6.057060241699219, -2.877225160598755, -5.776325225830078, -0.2682023346424103, -1.1954309940338135, 3.774217367172241, 6.474923610687256, 7.422124862670898, 6.27673864364624, 8.261587142944336, 14.247149467468262, 19.28721046447754]",neutral
"[-576.9112548828125, 48.53265380859375, -20.353515625, -3.4716036319732666, -18.359769821166992, -24.54155158996582, -3.9751510620117188, -28.451757431030273, -13.108105659484863, -1.2178958654403687, -9.316109657287598, -9.786959648132324, -15.573691368103027, -5.038903713226318, -18.95836067199707, -14.111605644226074, -1.3427886962890625, 4.850254535675049, 23.41388511657715, 28.321252822875977, 27.65085792541504, 17.26158332824707, 1.4498387575149536, -2.386662483215332, -9.421775817871094, 2.8006484508514404, 0.21539542078971863, -1.7471708059310913, -10.12305736541748, -4.675088882446289, -5.5406317710876465, 5.944263458251953, -1.9495413303375244, -2.4170355796813965, -5.313628673553467, 6.271292686462402, 1.5673813819885254, 1.189186692237854, 6.680286407470703, 18.420684814453125]",neutral
"[-523.532470703125, 73.87703704833984, -30.389846801757812, 21.636085510253906, 2.1406569480895996, -23.891151428222656, -10.575896263122559, -23.001794815063477, -14.569510459899902, -0.527359127998352, -9.748108863830566, -6.853388786315918, 1.9180017709732056, -14.145586967468262, -6.907523155212402, -1.1576963663101196, -18.02865982055664, -2.610419988632202, -7.2723565101623535, -13.085640907287598, -6.9237518310546875, -3.6381728649139404, -12.637146949768066, -3.262362241744995, -11.140084266662598, 4.254520416259766, -8.288010597229004, -0.7081999778747559, -5.547508716583252, -6.371975421905518, -6.196152687072754, -2.6609115600585938, -2.0552520751953125, -0.1341484934091568, 3.5222933292388916, 2.7941274642944336, 5.319149971008301, 11.296304702758789, 14.723204612731934, 19.928020477294922]",neutral
"[-489.303955078125, 38.17552185058594, -33.44606399536133, 2.0575575828552246, -16.824493408203125, -28.247495651245117, 0.6762065887451172, -34.25802993774414, -5.079041957855225, -10.12049674987793, -7.077595233917236, -13.309440612792969, -9.4650297164917, -1.3802417516708374, -8.76591682434082, -7.8110737800598145, 4.4277191162109375, 14.9829683303833, 26.614648818969727, 38.245521545410156, 29.656579971313477, 20.34027862548828, 2.6466727256774902, -0.38687580823898315, -3.1444251537323, 4.270368576049805, 0.5974385738372803, 2.7320189476013184, -7.812553405761719, -5.337747097015381, -3.9577317237854004, 4.19596529006958, -0.8562142252922058, -2.904370069503784, -3.31042742729187, 4.67011833190918, 1.861680507659912, 1.6939626932144165, 5.970397472381592, 13.942253112792969]",neutral
"[-584.8824462890625, 92.09440612792969, -11.639927864074707, 6.860013484954834, 2.199864387512207, -10.497143745422363, -17.408830642700195, -11.944461822509766, -14.524284362792969, -7.172743797302246, -13.975727081298828, -12.390645980834961, -0.4442882835865021, -2.7015469074249268, -14.277146339416504, -2.2827377319335938, -2.3103485107421875, -5.115769386291504, -5.952433109283447, -3.1061201095581055, -9.0327787399292, -3.306288480758667, -8.72048282623291, -3.566530466079712, -8.551155090332031, -0.6514452695846558, -9.903768539428711, -0.4139639735221863, -6.974910736083984, -3.032277822494507, -7.196469306945801, -2.994290351867676, -4.503612041473389, -2.1788861751556396, 1.0986582040786743, 2.578752279281616, 5.128966331481934, 10.964162826538086, 14.57579517364502, 17.218881607055664]",neutral
"[-392.3659973144531, 41.719844818115234, -24.301679611206055, 4.336879253387451, -12.742685317993164, -30.06133270263672, -13.280444145202637, -31.010347366333008, -24.78528594970703, -5.03941535949707, -9.546690940856934, -21.49747085571289, -7.144482612609863, -10.484162330627441, -2.557152271270752, -8.729819297790527, 0.530850887298584, 11.738231658935547, 21.671878814697266, 23.644380569458008, 21.17140769958496, 17.218679428100586, -6.338289737701416, 3.077572822570801, -9.157257080078125, 1.6236664056777954, 0.3609444797039032, 2.596079111099243, -8.499011039733887, -8.095580101013184, -1.9721320867538452, -1.7292790412902832, -2.2937021255493164, -2.2822582721710205, -7.071970462799072, 4.5279436111450195, 0.5820649266242981, 0.27480968832969666, 2.0788769721984863, 11.496438980102539]",neutral
